SrNo, Timestamp, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro 
201, 1737995754452, 7.23405, 5.22795, 1.42305, 119.04703, -229.97165, -23.09091
202, 1737995754468, 6.726, 5.23305, 0.81, 125.06594, -244.04205, -33.73432
203, 1737995754489, 6.68595, 5.59995, 0.03195, 134.23615, -256.64716, -45.28372
204, 1737995754501, 5.92905, 4.90305, -0.94395, 136.05598, -264.34412, -48.00957
205, 1737995754519, 6.06795, 5.13705, -1.284, 138.85275, -267.84201, -54.65874
206, 1737995754537, 6.06795, 5.13705, -1.284, 142.91788, -269.87457, -71.66771
207, 1737995754551, 5.67, 5.17305, -1.34805, 157.82338, -274.633, -92.74181
208, 1737995754568, 3.30195, 5.00295, -2.10195, 183.7977, -276.52377, -94.20715
209, 1737995754585, 2.31795, 4.77405, -3.228, 200.45215, -267.42447, -93.08845
210, 1737995754601, 2.10795, 4.23705, -4.36305, 213.33295, -267.06995, -90.63834
211, 1737995754619, 1.275, 3.75405, -4.377, 237.62135, -266.30576, -90.99286
212, 1737995754635, -0.45795, 2.62605, -4.944, 262.82364, -269.87457, -96.02701
213, 1737995754651, -2.41905, 1.48905, -6.699, 294.32053, -292.55582, -100.09215
214, 1737995754669, -2.41905, 1.48905, -6.699, 309.16302, -296.47128, -101.69929
215, 1737995754685, -4.69095, 0.576, -7.84095, 318.61682, -275.19235, -87.21134
216, 1737995754702, -4.61205, -0.55305, -8.703, 316.16669, -242.57671, -69.15457
217, 1737995754718, -4.38495, -1.13205, -9.21105, 303.70343, -194.97682, -48.36409
218, 1737995754735, -4.176, -2.06805, -9.92505, 268.42499, -130.50188, -25.05258
219, 1737995754751, -2.91705, -2.22405, -10.57305, 231.3976, -109.08901, -29.53526
220, 1737995754767, -4.04895, -3.35595, -8.90505, 185.47575, -118.53494, -57.10885
221, 1737995754784, -5.06205, -5.13105, -5.17395, 167.48201, -123.57697, -69.98966
222, 1737995754800, -5.06205, -5.13105, -5.17395, 176.23466, -108.59269, -71.46288
223, 1737995754817, -4.839, -6.17505, -2.68395, 200.17641, -85.14725, -69.2885
224, 1737995754833, -3.91995, -6.62205, -2.10495, 231.81514, -45.0395, -70.76173
225, 1737995754852, -2.84505, -8.66205, -1.08, 253.23587, -11.92755, -72.02222
226, 1737995754867, -0.64905, -10.75995, -0.07005, 285.71759, 33.08043, -72.65248
227, 1737995754883, 0.738, -12.19095, -1.176, 311.40039, 76.55217, -73.62937
228, 1737995754900, 0.02205, -11.145, -8.19795, 325.54175, 94.2623, -64.04164
229, 1737995754916, 0.02205, -11.145, -8.19795, 308.39096, 96.22396, -49.82942
230, 1737995754933, 1.12605, -10.62795, -8.28195, 267.65292, 112.94932, -31.0715
231, 1737995754951, 3.80295, -10.66605, -5.88495, 241.40288, 128.91049, -30.15763
232, 1737995754966, 5.32605, -11.454, -3.70695, 221.87289, 141.79131, -41.36039
233, 1737995754983, 5.256, -12.68205, -1.22595, 221.17172, 159.77716, -46.26061
234, 1737995754999, 5.61105, -13.30005, -1.08705, 232.51631, 179.59076, -48.22227
235, 1737995755019, 5.90505, -12.68895, -3.273, 256.24533, 192.32976, -46.54422
236, 1737995755033, 5.90505, -12.68895, -3.273, 267.93655, 196.04037, -43.7396
237, 1737995755050, 5.36205, -11.59995, -5.68695, 256.38715, 212.90753, -32.1902
238, 1737995755072, 5.64405, -11.83695, -6.546, 213.47476, 226.62343, -11.19488
239, 1737995755087, 6.204, -12.78, -5.96205, 168.04924, 237.82617, 5.53835
240, 1737995755098, 7.77705, -12.39195, -4.59495, 120.93779, 241.32408, 14.07829
241, 1737995755115, 9.81705, -11.28405, -2.87295, 78.1672, 219.84032, 2.80463
242, 1737995755133, 10.41795, -9.84705, -2.10495, 68.09103, 190.64383, -10.28101
243, 1737995755149, 10.176, -9.52695, -1.51605, 69.06791, 176.51039, -20.43597
244, 1737995755166, 10.176, -9.52695, -1.51605, 67.03534, 176.15588, -35.34147
245, 1737995755181, 9.10095, -10.56105, -1.27605, 60.24437, 163.77139, -47.87564
246, 1737995755200, 8.16495, -11.09205, -0.76395, 59.61411, 152.84438, -57.46337
247, 1737995755216, 7.07295, -10.956, -0.438, 64.3804, 149.97672, -62.56842
248, 1737995755232, 6.01995, -11.19495, -0.762, 72.92033, 147.17996, -59.07051
249, 1737995755248, 5.163, -11.394, -1.26, 75.01593, 143.46936, -52.90979
250, 1737995755266, 4.95495, -11.41305, -2.373, 69.83997, 133.6689, -50.8851
251, 1737995755283, 4.95495, -11.41305, -2.373, 57.44761, 122.60796, -53.39824
252, 1737995755298, 4.77495, -10.92705, -2.94, 38.54788, 131.70723, -61.37882
253, 1737995755316, 4.533, -10.70205, -3.05505, 24.69018, 158.72935, -66.07421
254, 1737995755332, 3.43905, -11.35095, -4.269, -5.3414, 192.81821, -64.32526
255, 1737995755347, 2.02905, -11.502, -4.779, -34.25428, 215.9879, -64.7428
256, 1737995755366, 1.176, -11.418, -4.75305, -57.14037, 218.64284, -60.18922
257, 1737995755383, 0.31695, -11.72205, -3.3, -50.83783, 227.32458, -54.80055
258, 1737995755398, -0.07695, -12.23205, -3.786, -38.58727, 226.41859, -43.18025
259, 1737995755415, -0.07695, -12.23205, -3.786, -30.54366, 208.14911, -42.06155
260, 1737995755432, -0.07995, -11.81505, -4.38405, -15.55938, 182.52931, -40.24169
261, 1737995755447, 0.741, -11.16195, -5.02605, -7.01945, 181.82816, -43.10934
262, 1737995755464, 0.05805, -11.45595, -7.71705, -15.70119, 172.24042, -47.59203
263, 1737995755481, -2.29905, -11.859, -9.558, -21.23167, 141.16106, -47.45021
264, 1737995755497, -2.90505, -12.03105, -10.01295, -19.34091, 106.44195, -38.83937
265, 1737995755516, -0.597, -11.073, -10.698, -23.61087, 73.47181, -27.28998
266, 1737995755531, -0.597, -11.073, -10.698, -40.83255, 64.15981, -27.50269
267, 1737995755549, 1.31295, -10.326, -10.79805, -74.36205, 72.2822, -29.66919
268, 1737995755563, 1.59495, -10.365, -9.47895, -95.78279, 86.35262, -25.75374
269, 1737995755580, 1.74105, -10.62495, -7.75995, -111.17673, 102.30592, -18.19069
270, 1737995755597, 2.706, -11.025, -7.317, -117.8259, 100.62786, -18.75004
271, 1737995755613, 3.051, -11.93505, -6.759, -121.82014, 84.24915, -16.166
272, 1737995755632, 4.71, -12.18705, -6.477, -121.46562, 58.62934, -20.01055
273, 1737995755649, 6.06105, -11.54505, -5.47605, -116.70721, 10.47009, -32.61562
274, 1737995755663, 6.06105, -11.54505, -5.47605, -110.47557, -31.2527, -43.95231
275, 1737995755679, 6.738, -10.29705, -4.26405, -99.62733, -72.12465, -59.21232
276, 1737995755696, 7.23195, -8.87295, -3.13005, -93.04906, -87.25072, -72.43977
277, 1737995755713, 7.662, -8.43195, -2.86095, -89.40935, -96.35001, -86.09264
278, 1737995755729, 7.58295, -8.52105, -2.526, -89.06271, -90.67773, -101.13994
279, 1737995755748, 6.63795, -9.795, -3.01005, -91.64674, -83.54012, -109.33324
280, 1737995755763, 5.283, -10.88895, -2.97195, -93.19087, -82.69714, -100.50969
281, 1737995755779, 5.283, -10.88895, -2.97195, -94.23867, -82.48444, -87.91249
282, 1737995755797, 5.71095, -11.30295, -3.438, -98.57954, -91.02438, -77.41089
283, 1737995755814, 7.09005, -11.847, -3.57705, -103.62157, -99.77702, -74.1257
284, 1737995755832, 9.123, -12.58605, -3.26595, -108.52179, -107.82851, -73.70027
