SrNo, Timestamp, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro 
173, 1737991136923, -1.37295, 2.51295, 9.186, -4.35663, -0.27574, 1.21324
174, 1737991136941, -1.38495, 2.51295, 9.10695, -6.4601, -0.55935, 1.90652
175, 1737991136957, -1.29405, 2.48205, 9.387, -7.16126, 1.47322, 2.04832
176, 1737991136973, -1.30605, 2.45595, 9.50205, -6.17649, 1.47322, 1.84349
177, 1737991136991, -1.24995, 2.45295, 9.327, -5.40442, 1.40231, 1.77259
178, 1737991137006, -1.26705, 2.46495, 9.054, -7.09035, 0.77206, 1.55988
179, 1737991137023, -1.332, 2.40105, 8.96805, -11.21851, 0.28361, 1.55988
180, 1737991137040, -1.332, 2.40105, 8.96805, -14.71642, -0.13393, 1.41807
181, 1737991137059, -1.167, 2.37705, 8.77395, -23.39816, -6.16073, -0.33088
182, 1737991137072, -1.461, 2.262, 9.07095, -28.01477, -3.98635, 1.34717
183, 1737991137089, -1.20495, 2.142, 9.09195, -32.78106, -0.90599, 1.48897
184, 1737991137107, -1.39905, 2.06595, 9.46605, -35.43601, 2.66282, 3.52154
185, 1737991137122, -1.248, 2.02695, 10.107, -33.41132, -1.0478, 4.71115
186, 1737991137139, -1.10895, 1.96695, 10.48095, -23.18545, -3.84455, 3.66335
187, 1737991137155, -1.10895, 1.96695, 10.48095, -13.18018, -5.31776, 2.19013
188, 1737991137173, -1.203, 1.83795, 10.251, -1.41807, -7.69697, 0.85872
189, 1737991137188, -1.21695, 1.848, 9.861, 2.07984, -7.55517, 0.44118
190, 1737991137205, -1.179, 1.88805, 9.34095, -1.63078, -5.17596, 1.00053
191, 1737991137224, -1.30095, 1.896, 9.07095, -6.31829, -7.55517, 1.63078
192, 1737991137244, -1.25295, 1.86195, 9.29805, -9.67439, -15.18911, 1.84349
193, 1737991137255, -1.65, 1.73295, 9.291, -12.75476, -24.2884, 6.3892
194, 1737991137271, -1.65, 1.73295, 9.291, -18.91549, -34.8609, 16.04783
195, 1737991137288, -1.77, 1.77405, 8.757, -34.45911, -55.71442, 33.1986
196, 1737991137305, -1.89, 1.46895, 7.926, -50.69602, -87.21922, 55.87986
197, 1737991137323, -1.353, 1.20795, 7.857, -76.10312, -126.83852, 86.67562
198, 1737991137338, -0.54195, 1.302, 8.757, -85.83266, -149.93732, 106.90676
199, 1737991137354, -0.20895, 1.34295, 9.92595, -73.09366, -159.38326, 133.57436
200, 1737991137371, 0.21105, 1.60095, 11.18505, -35.50691, -151.40266, 152.19836
201, 1737991137388, 1.91895, 0.51195, 9.87, 31.89871, -168.41164, 164.0235
202, 1737991137404, 1.91895, 0.51195, 9.87, 31.26846, -220.63602, 62.18239
203, 1737991137423, 3.78105, 2.45595, 9.95895, 23.08304, -177.86543, -25.95069
204, 1737991137439, 0.07695, 0.83295, 10.56705, 45.26796, -197.18271, -11.88028
205, 1737991137460, 1.43295, -0.15, 13.45005, 98.46924, -173.38275, 18.0095
206, 1737991137471, 3.58005, 0.21, 13.07205, 125.838, -123.19881, 29.55889
207, 1737991137487, 1.50405, 1.21095, 11.11305, 128.08328, -112.83902, 47.19811
208, 1737991137504, 1.51605, 1.89105, 10.80705, 134.86639, -124.80595, 79.32529
209, 1737991137520, 1.51605, 1.89105, 10.80705, 135.49664, -110.03439, 103.33795
210, 1737991137537, 2.05695, 2.238, 9.969, 122.19829, -68.52431, 137.84433
211, 1737991137553, 2.35905, 2.724, 8.76705, 78.37991, 16.10298, 166.68631
212, 1737991137570, -0.657, -1.33605, 9.669, 80.41248, -4.19906, 258.2464
213, 1737991137587, 0.987, -2.04, 11.77905, 139.56177, -51.44445, 256.91501
214, 1737991137603, -2.14395, -5.001, 11.439, 222.01469, -187.66588, 286.73386
215, 1737991137620, -0.429, -6.44505, 9.16395, 277.24857, -220.14757, 317.95505
216, 1737991137637, 1.90905, -8.013, 5.16105, 293.76907, -201.94113, 344.76447
217, 1737991137653, 1.90905, -8.013, 5.16105, 275.01114, -136.63898, 379.55447
218, 1737991137669, 3.882, -9.402, 5.02695, 241.54466, -89.38572, 392.29346
219, 1737991137686, 17.568, 0.43995, -33.07995, 63.75015, -236.52628, 279.38354
220, 1737991137703, 8.27805, 1.548, -0.04995, 62.00119, -92.67879, 279.2417
221, 1737991137719, 19.64595, 3.201, 12.13995, 100.07639, 14.28312, 199.23891
222, 1737991137736, 20.127, 1.797, 16.38105, 147.18785, 124.25449, 132.32173
223, 1737991137754, 21.25695, 3.28695, 4.56495, 107.49762, 319.75916, 56.72282
224, 1737991137769, 21.25695, 3.28695, 4.56495, 21.82253, 426.64227, -10.54887
225, 1737991137787, 22.90905, 4.80495, -0.24405, -53.84729, 408.23889, -121.42623
226, 1737991137802, 17.769, 1.869, 3.97605, -48.66346, 307.09103, -191.21893
227, 1737991137819, 15.348, -1.66395, 10.143, 1.7332, 193.62178, -261.634
228, 1737991137835, 17.09805, -2.90595, 10.99305, 26.93546, 172.61858, -311.19559
229, 1737991137852, 19.16505, -3.59295, 7.31595, 22.24007, 195.93008, -376.50558
230, 1737991137868, 15.834, -7.221, 3.59505, -0.01576, 204.32822, -412.4852
231, 1737991137885, 17.16495, -8.00895, 3.91305, -32.42654, 208.73997, -427.39069
232, 1737991137902, 17.16495, -8.00895, 3.91305, -41.66764, 208.32243, -453.29413
233, 1737991137918, 14.601, -9.64605, 3.50595, -44.46439, 183.53772, -460.08508
234, 1737991137935, 15.47295, -9.69405, 5.889, -30.67759, 178.29086, -468.41235
235, 1737991137953, 15.114, -9.57195, 4.42605, -15.97693, 119.91361, -484.64923
236, 1737991137968, 12.477, -10.149, 4.617, -3.09612, 27.79418, -484.1608
237, 1737991137985, 12.894, -8.499, 12.504, 26.2343, -89.1021, -483.25479
238, 1737991138002, 14.268, -7.18995, 20.08905, 122.62371, -246.32674, -504.32101
239, 1737991138018, 14.268, -7.18995, 20.08905, 217.39809, -375.40265, -518.10785
240, 1737991138035, 9.76695, -7.95105, 25.098, 340.10846, -508.53583, -495.63928
241, 1737991138051, 7.87605, -6.67995, 30.27495, 431.0383, -607.02875, -482.34091
242, 1737991138068, 8.23995, -3.20595, 31.93395, 517.34369, -707.54626, -489.69128
243, 1737991138085, 5.06205, -1.72605, 31.27995, 545.27179, -715.31421, -474.9906
244, 1737991138101, 0.549, 0.10905, 26.71695, 550.10107, -632.22314, -423.96368
245, 1737991138118, -9.73605, 0.05895, 28.23195, 545.90198, -599.95416, -361.59222
246, 1737991138135, -15.33405, -2.19795, 25.75695, 647.0498, -578.81702, -237.3456
247, 1737991138151, -15.33405, -2.19795, 25.75695, 703.47327, -545.42932, -137.10378
248, 1737991138168, -10.899, -5.607, 17.87505, 705.98645, -345.37109, -36.38139
249, 1737991138184, 0.927, -5.31, 5.45295, 652.23364, -214.19167, -4.0415
250, 1737991138201, -0.40305, -8.739, 6.669, 629.41064, -125.57803, 41.17919
251, 1737991138217, -0.33105, -13.101, 7.15995, 666.6507, -141.11377, 86.64411
252, 1737991138234, 2.778, -15.699, 10.56495, 716.62982, -172.12225, 85.65933
253, 1737991138251, 2.493, -18.036, 5.43105, 791.32275, -182.62386, 42.75483
254, 1737991138267, 2.493, -18.036, 5.43105, 765.34845, -124.0339, 14.75581
255, 1737991138284, 6.65895, -13.506, -4.245, 622.83234, 93.80537, -39.77688
256, 1737991138302, 12.29805, -6.06195, -6.96, 513.07373, 273.56155, -89.68508
257, 1737991138317, 17.091, -3.61695, -6.168, 421.23785, 396.76038, -180.54402
258, 1737991138335, 19.08795, -7.47705, -4.65495, 411.85495, 416.29034, -249.28104
259, 1737991138354, 16.15305, -14.70495, -3.36705, 400.51828, 435.67853, -303.81372
260, 1737991138366, 15.35505, -18.948, -2.09295, 402.05453, 482.64816, -309.40723
261, 1737991138385, 16.29195, -18.642, -7.61595, 415.07712, 472.63504, -304.86154
262, 1737991138400, 16.29195, -18.642, -7.61595, 394.42847, 448.90598, -303.1835
263, 1737991138417, 18.81495, -15.79995, -12.81705, 347.03336, 431.9679, -309.61993
264, 1737991138435, 22.07805, -12.9, -16.485, 261.50006, 388.56708, -333.76654
265, 1737991138451, 25.00395, -11.382, -17.268, 202.62653, 312.55063, -360.37109
266, 1737991138471, 25.54305, -12.093, -13.95195, 135.85115, 195.29982, -402.64536
267, 1737991138489, 27.423, -10.90305, -7.71, 80.97182, 158.48514, -453.60925
268, 1737991138499, 30.399, -8.90895, -4.461, 58.14877, 151.26874, -513.0343
269, 1737991138516, 30.399, -8.90895, -4.461, 39.8793, 143.78447, -589.19257
270, 1737991138532, 31.61505, -9.79005, -5.95995, -5.47533, 149.24405, -683.41547
271, 1737991138554, 25.665, -15.00195, -8.26305, -67.00384, 198.93954, -712.39136
272, 1737991138567, 16.64805, -18.249, -10.815, -162.41634, 246.32674, -682.01312
273, 1737991138587, 12.24, -16.61805, -5.916, -208.89755, 224.14182, -643.51257
274, 1737991138599, 13.93305, -14.80095, -0.18705, -209.03148, 176.68372, -643.51257
275, 1737991138615, 14.223, -14.895, 3.459, -194.82713, 75.81162, -642.88226
276, 1737991138632, 14.223, -14.895, 3.459, -192.44005, 29.1965, -629.0246
277, 1737991138648, 12.18795, -14.41305, 4.347, -211.69429, 23.73693, -581.14893
278, 1737991138665, 11.295, -11.643, 4.81605, -226.6707, 14.07041, -545.02753
279, 1737991138683, 12.05595, -8.712, 10.20105, -220.93539, 51.73594, -500.09045
280, 1737991138698, 12.702, -7.02405, 11.55105, -199.93219, 76.85942, -486.43759
281, 1737991138715, 10.00605, -7.14405, 11.226, -162.41634, 45.50431, -478.66971
282, 1737991138732, 8.96505, -7.02, 15.39195, -119.36214, -22.95699, -474.11612
283, 1737991138748, 7.806, -7.20195, 20.058, -25.91918, -128.09116, -469.84613
284, 1737991138765, 7.806, -7.20195, 20.058, 45.13403, -211.11131, -456.27206
285, 1737991138782, 3.16605, -8.84895, 25.11495, 138.86061, -275.23172, -417.84238
286, 1737991138799, 2.28495, -7.671, 28.95795, 204.02884, -301.2691, -403.90588
287, 1737991138815, 5.4, -7.50105, 29.64495, 279.91138, -350.41312, -412.51669
288, 1737991138832, 5.022, -8.56395, 32.949, 341.85742, -413.96628, -426.65805
289, 1737991138848, 5.397, -9.13605, 36.32295, 446.57407, -480.39502, -446.74738
290, 1737991138864, 3.88905, -9.71595, 34.19205, 501.31158, -505.38461, -465.15866
291, 1737991138883, 3.88905, -9.71595, 34.19205, 536.45605, -516.02802, -470.76001
292, 1737991138897, -0.987, -10.8, 32.712, 582.51184, -540.31635, -441.84714
293, 1737991138914, -6.096, -10.57995, 29.33595, 599.66266, -543.95612, -394.38907
294, 1737991138932, -7.38195, -8.39205, 24.62895, 576.98138, -487.04419, -315.36313
295, 1737991138948, -6.49905, -6.687, 27.471, 572.56964, -378.34122, -253.27527
296, 1737991138966, -4.17405, -9.74895, 29.40495, 639.91223, -223.57457, -177.39275
297, 1737991138982, -2.03595, -15.15795, 22.44495, 707.94806, -126.83066, -136.93047
298, 1737991138999, -4.95195, -19.566, 10.347, 759.11676, -69.50121, -69.80846
299, 1737991139014, -4.95195, -19.566, 10.347, 755.41406, -75.2444, -22.90184
300, 1737991139033, -1.20495, -17.67405, 4.10295, 727.54895, -70.13147, -19.40393
301, 1737991139047, 3.08205, -15.543, 4.464, 717.40186, -58.86568, -44.18865
302, 1737991139064, 5.86395, -14.109, 2.46, 674.34772, 25.06046, -105.50445
303, 1737991139082, 10.02795, -10.86495, -2.84205, 635.42957, 126.98033, -160.02925
304, 1737991139097, 10.67895, -9.792, -12.24495, 571.87634, 213.78201, -220.93539
305, 1737991139114, 12.468, -11.586, -15.204, 452.80566, 324.37576, -279.31262
306, 1737991139130, 12.468, -11.586, -15.204, 382.24878, 373.72461, -321.16934
307, 1737991139147, 14.553, -14.39895, -12.249, 341.15625, 424.40488, -360.22931
308, 1737991139164, 12.72195, -19.575, -8.47395, 339.96664, 457.86346, -357.36163
309, 1737991139180, 13.452, -20.52795, -9.76395, 353.61951, 441.20901, -333.41989
310, 1737991139197, 16.73895, -18.141, -15.501, 344.30753, 404.45737, -320.39728
311, 1737991139212, 20.757, -12.39195, -23.43795, 279.48596, 343.55908, -329.56747
312, 1737991139231, 22.92105, -7.683, -24.98205, 194.51201, 289.02643, -360.78867
313, 1737991139246, 18.54705, -9.579, -25.02495, 69.76907, 233.51682, -391.16687
